returnAddress	amount	tokenSymbol	tokenAddr	oldWallet	newWallet
'	'8885180000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x55f206ccea40fb17134258f11e732f358a10822a	'0x7511eac5c657731574285815888d49ef0f793233
'	'9000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x6cb2bc8af04dc5da25dfa001be49d65872e32e79	'0x7623ba56c9ef6d82fc6c789d42dd2597a29407bf
'	'3000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x54d920b15a6fc49f7c206df8924d5c192da4228e	'0x77e14c3dfaf0523ae0f1318343ff456f3d77fe36
'	'2000000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x039704a4ecf78b0e1eef8f181a7838a0c68876ca	'0x786e49f0830421e4f60df2aad00e9a367867e80f
'	'51000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x8bbaf6956e8e2aef3eb8f192f5eaf48b4bbbb126	'0x78a0b9d7ba0fa35a5e73d4dd8ab1f1b7e7788818
'	'12347870000001024	'GNT	'0xa74476443119a942de498590fe1f2454d7d4ac0d	'0x74b16e67582e66f791ba45c65f70b84c54541e3b	'0x7d1ac4d31e6f8bd4b1405ffc8ad15f7fed1b98f4
'	'38178750280000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x3d578574e5f8e5db7936b95220e335dca7e8bbce	'0x7f16d37b2919fa96cc8a35ee0d7546f998ff4ecc
'	'62224568862299	'CVC	'0x41e5560054824ea6b0732e656e3ad64e20e94e45	'0xa9b1d13399687fcfab76c9a52ad59cd225134ec6	'0x814c75b97ca3f40348fe69487b820406f43104d8
'	'116800000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x00e97dc9df137a4065418fe6475f9465b63d9f59	'0x832a5acd6686492c47efc23799f976763cb6ba65
'	'100000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xa96b0d4cacc9714f69e42bfa49cd20858eb2fe24	'0x845e34f7a38bbec1c25593b6bdf2fdcc6b7d5459
'	'734364468170185838	'ETH	'0x0000000000000000000000000000000000000000	'0x5aff03be8357d53f4758db5894744f51d515e41f	'0x86a4e5f0711fb5cefb14d17843c80672d48d44df
'	'19000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x2993753c24323d9152e69f6589109f67b2921dac	'0x87af3c6dd31cfda51a1a331ebc61c087e7cee6ec
'0x7c31560552170ce96c4a7b018e93cddc19dc61b6	'999217000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xc7a13c9ceba109499c2c00af977591b55a03e6af	'0x880edf80c2ede71795488af0df43f3a89fccae33
'0x7c31560552170ce96c4a7b018e93cddc19dc61b6	'366350000000000000000000000	'BAT	'0x0d8775f648430679a709e98d2b0cb6250d2887ef	'0xc7a13c9ceba109499c2c00af977591b55a03e6af	'0x880edf80c2ede71795488af0df43f3a89fccae33
'	'100000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xefc0290283c59572fc03a6cc433831935477ada3	'0x886602554fdfe277dbcd83d0abbc42faa2ed93bd
'	'4500505300000000000000	'ICN	'0x888666ca69e0f178ded6d75b5726cee99a87d698	'0x223cc19bf2fcc7219e0518c89a735b99091a57e9	'0x8935c64c5f93458266c6283d6b4dfc8798cffce9
'	'9000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x21d32aa7d6f763a21276189046f45423dc37b14e	'0x8b394fb545f087573d592e8b01b0d61f7aedc137
'	'4000000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xd4d2a4b571109ad1397e953ab87d6e5feed031b2	'0x8becd4410275e9a28e0f6fb23546916c4b8a4721
'	'9600000	'GUP	'0xf7b098298f7c69fc14610bf71d5e02c60792894c	'0x6a45c0ac25b9e6e4b07d9a37fca6de56766872aa	'0x8bf4124ab6b69d4c86bfce597286d2a4473b8db5
'	'1006000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x50532e594bc045b75df5e57187e2e24d4655c21e	'0x8f6eae31d20d1e65b1bf6a2ebc70a54f4bef31bc
'	'12017531183558901529623	'ETH	'0x0000000000000000000000000000000000000000	'0xfe7e3ee7d3fcd8f3957aafb8348a38d229e4409a	'0x923f3958f05395568e98fee5a647be489565fe64
'	'1000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xd3a15d933bc568ce20e93c617822e2ffb77411ea	'0x95e76b1b9ca090e692436d2d068e0a623350570b
'	'11755910110	'STORJ	'0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac	'0x8306f9bdec388231265e77225c4e28eb716f6b55	'0x961e21915162fd121ec4a19a317f16d0cb9f949a
'	'1000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xf2919796ac2b7d4c884bec05cebe92a4b6f1e701	'0x97fa510a5aa9430d843afa28fdd24e467742e86c
'	'20000000000000000000	'BNT	'0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c	'0xeba90b310b464c20d409de6de7a75735bff63dad	'0x99b994cb3fc519db8a2a8739d5afb7945b73222f
'	'3231181432096011	'ETH	'0x0000000000000000000000000000000000000000	'0x851286854a2c56eb74a082fdad9d3cf87a218df9	'0x9a6e78eca3c644e4467b17f351747540900c5666
'	'17275500000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xa113f56092cefb9255c56813de43c6ca2d80681c	'0x9b1adac4d674558ee1553458437980bf8815165a
'	'59051583323919257	'ETH	'0x0000000000000000000000000000000000000000	'0xe50634f6cabc048e069ead7ddda94dcf51173841	'0x9b861b672ae2303a508d7b247b882dd4080c5bb6
'	'99493560000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x8edaaaf2f30edd0a561c219f475fff026cdac575	'0x9ef27540e7bd4a5e01035194db76ad91f685ef1f
'	'48999944990000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xaac6ba6cb7d29722bedd1ee06bfccd30fa3c7581	'0x9fc566d32c0d2c5773b6c42a12e504bf8c95d4df
'	'10501280	'RLC	'0x607f4c5bb672230e8672085532f7e901544a7375	'0xaac6ba6cb7d29722bedd1ee06bfccd30fa3c7581	'0x9fc566d32c0d2c5773b6c42a12e504bf8c95d4df
'	'9999999999999990	'DICE	'0x2e071d2966aa7d8decb1005885ba1977d6038a65	'0xf39fc9bc6b3d39333c3663e89f887a7c6eeb84eb	'0x9fe937a8ea1455ccfffb60034ba6eb9fff614eb5
'0xa25f3992a062544211fc70a39126aafb330c790d	'74397842804882440926	'ETH	'0x0000000000000000000000000000000000000000	'0x111115111fd0953445d624ceaac28d0ad0c9e74f	'0xa25f3992a062544211fc70a39126aafb330c790d
